ds,y
2013-01-03,315972.0
2013-01-04,332728.0
2013-01-05,4490717.0
2013-01-06,36232.0
2013-01-07,6848807.0
2013-01-08,6284349.0
2013-01-09,5776255.0
2013-01-10,5737436.0
2013-01-11,5946401.0
2013-01-12,5142207.0
2013-01-13,45294.0
2013-01-14,5045305.0
2013-01-15,4712377.0
2013-01-16,4555865.0
2013-01-17,4595912.0
2013-01-18,5248816.0
2013-01-19,5149047.0
2013-01-20,49611.0
2013-01-21,7113242.0
2013-01-22,6812268.0
2013-01-23,6415805.0
2013-01-24,6199304.0
2013-01-25,6495629.0
2013-01-26,5021488.0
2013-01-27,48519.0
2013-01-28,5006954.0
2013-01-29,4688664.0
2013-01-30,5085139.0
2013-01-31,5743197.0
2013-02-01,5396586.0
2013-02-02,5633279.0
2013-02-03,43321.0
2013-02-04,6091705.0
2013-02-05,5698947.0
2013-02-06,5320857.0
2013-02-07,4939112.0
2013-02-08,5434964.0
2013-02-09,5241876.0
2013-02-10,38382.0
2013-02-11,3414244.0
2013-02-12,3799857.0
2013-02-13,4110956.0
2013-02-14,4224508.0
2013-02-15,4125167.0
2013-02-16,5204066.0
2013-02-17,38820.0
2013-02-18,7575859.0
2013-02-19,6454209.0
2013-02-20,6236709.0
2013-02-21,6175352.0
2013-02-22,6339048.0
2013-02-23,4863248.0
2013-02-24,51228.0
2013-02-25,4809403.0
2013-02-26,4835755.0
2013-02-27,5164313.0
2013-02-28,5897066.0
2013-03-01,5996796.0
2013-03-02,5484376.0
2013-03-03,49637.0
2013-03-04,7450457.0
2013-03-05,6875688.0
2013-03-06,6384972.0
2013-03-07,6381622.0
2013-03-08,6517110.0
2013-03-09,5097105.0
2013-03-10,39573.0
2013-03-11,5171127.0
2013-03-12,4424644.0
2013-03-13,4871068.0
2013-03-14,5065710.0
2013-03-15,5566090.0
2013-03-16,5358870.0
2013-03-17,44608.0
2013-03-18,7406105.0
2013-03-19,6796605.0
2013-03-20,6018279.0
2013-03-21,6180263.0
2013-03-22,6356586.0
